Province/State,Country/Region,last update,confirmed,deaths,recovered,Lat,Long
,Afghanistan,4/18/20,933,30,112,33,65
,Albania,4/18/20,548,26,302,41.1533,20.1683
,Algeria,4/18/20,2534,367,894,28.0339,1.6596
,Andorra,4/18/20,704,35,205,42.5063,1.5218
,Angola,4/18/20,24,2,6,-11.2027,17.8739
,Antigua and Barbuda,4/18/20,23,3,3,17.0608,-61.7964
,Argentina,4/18/20,2758,129,685,-38.4161,-63.6167
,Armenia,4/18/20,1248,20,523,40.0691,45.0382
Australian Capital Territory,Australia,4/18/20,103,3,88,-35.4735,149.0124
New South Wales,Australia,4/18/20,2926,26,1379,-33.8688,151.2093
Northern Territory,Australia,4/18/20,28,0,9,-12.4634,130.8456
Queensland,Australia,4/18/20,1015,6,738,-28.0167,153.4
South Australia,Australia,4/18/20,435,4,331,-34.9285,138.6007
Tasmania,Australia,4/18/20,180,7,67,-41.4545,145.9707
Victoria,Australia,4/18/20,1319,14,1172,-37.8136,144.9631
Western Australia,Australia,4/18/20,541,7,340,-31.9505,115.8605
,Austria,4/18/20,14671,443,10214,47.5162,14.5501
,Azerbaijan,4/18/20,1373,18,590,40.1431,47.5769
,Bahamas,4/18/20,55,9,10,25.0343,-77.3963
,Bahrain,4/18/20,1773,7,755,26.0275,50.55
,Bangladesh,4/18/20,2456,91,75,23.685,90.3563
,Barbados,4/18/20,75,5,17,13.1939,-59.5432
,Belarus,4/18/20,4779,45,342,53.7098,27.9534
,Belgium,4/18/20,37183,5453,8348,50.8333,4
,Benin,4/18/20,35,1,0,9.3077,2.3158
,Bhutan,4/18/20,5,0,18,27.5142,90.4336
,Bolivia,4/18/20,493,31,2,-16.2902,-63.5887
,Bosnia and Herzegovina,4/18/20,1268,47,31,43.9159,17.6791
,Brazil,4/18/20,36658,2354,338,-14.235,-51.9253
,Brunei,4/18/20,137,1,14026,4.5353,114.7277
,Bulgaria,4/18/20,878,41,113,42.7339,25.4858
,Burkina Faso,4/18/20,565,36,153,12.2383,-1.5616
,Cabo Verde,4/18/20,58,1,321,16.5388,-23.0418
,Cambodia,4/18/20,122,0,1,11.55,104.9167
,Cameroon,4/18/20,1017,22,103,3.848,11.5021
Alberta,Canada,4/18/20,2562,51,177,53.9333,-116.5765
British Columbia,Canada,4/18/20,1618,78,10964,49.2827,-123.1207
Grand Princess,Canada,4/18/20,13,0,4,37.6489,-122.6655
Manitoba,Canada,4/18/20,253,5,8,53.7609,-98.8139
New Brunswick,Canada,4/18/20,117,0,4035,46.5653,-66.4619
Newfoundland and Labrador,Canada,4/18/20,257,3,984,53.1355,-57.6604
Nova Scotia,Canada,4/18/20,649,7,509,44.682,-63.7443
Ontario,Canada,4/18/20,11013,564,570,51.2538,-85.3232
Prince Edward Island,Canada,4/18/20,26,0,336,46.5107,-63.4168
Quebec,Canada,4/18/20,17521,688,137,52.9399,-73.5491
Saskatchewan,Canada,4/18/20,313,4,1482,52.9399,-106.4509
,Central African Republic,4/18/20,12,0,252,6.6111,20.9394
,Chad,4/18/20,33,0,144,15.4542,18.7322
,Chile,4/18/20,9730,126,162,-35.6751,-71.543
Anhui,China,4/18/20,991,6,316,31.8257,117.2264
Beijing,China,4/18/20,593,8,472,40.1824,116.4142
Chongqing,China,4/18/20,579,6,1254,30.0572,107.874
Fujian,China,4/18/20,355,1,568,26.0789,117.9874
Gansu,China,4/18/20,139,2,63494,37.8099,101.0583
Guangdong,China,4/18/20,1579,8,1015,23.3417,113.4244
Guangxi,China,4/18/20,254,2,104,23.8298,108.7881
Guizhou,China,4/18/20,146,2,643,26.8154,106.8748
Hainan,China,4/18/20,168,6,936,19.1959,109.7453
Hebei,China,4/18/20,328,6,97,39.549,116.1306
Heilongjiang,China,4/18/20,892,13,142,47.862,127.7615
Henan,China,4/18/20,1276,22,17,33.882,113.614
Hong Kong,China,4/18/20,1024,4,75,22.3,114.2
Hubei,China,4/18/20,68128,4512,18,30.9756,112.2707
Hunan,China,4/18/20,1019,4,252,27.6104,111.7088
Inner Mongolia,China,4/18/20,193,1,765,44.0935,113.9448
Jiangsu,China,4/18/20,653,0,512,32.9711,119.455
Jiangxi,China,4/18/20,937,1,135,27.614,115.7221
Jilin,China,4/18/20,102,1,553,43.6661,126.1923
Liaoning,China,4/18/20,146,2,173,41.2956,122.6085
Macau,China,4/18/20,45,0,1,22.1667,113.55
Ningxia,China,4/18/20,75,0,73,37.2692,106.1655
Qinghai,China,4/18/20,18,0,177,35.7452,95.9956
Shaanxi,China,4/18/20,256,3,1246,35.1917,108.8701
Shandong,China,4/18/20,787,7,634,36.3427,118.1498
Shanghai,China,4/18/20,628,7,11,31.202,121.4491
Shanxi,China,4/18/20,197,0,26,37.5777,112.2922
Sichuan,China,4/18/20,561,3,97,30.6171,102.7103
Tianjin,China,4/18/20,189,3,239,39.3054,117.323
Tibet,China,4/18/20,1,0,615,31.6927,88.0924
Xinjiang,China,4/18/20,76,3,644,41.1129,85.2401
Yunnan,China,4/18/20,184,2,227,24.974,101.487
Zhejiang,China,4/18/20,1268,1,79,29.1832,120.0934
,Colombia,4/18/20,3439,153,1227,4.5709,-74.2973
,Congo (Brazzaville),4/18/20,143,6,173,-4.0383,21.7587
,Congo (Kinshasa),4/18/20,307,25,11,-4.0383,21.7587
,Costa Rica,4/18/20,655,4,3847,9.7489,-83.7534
,Cote d'Ivoire,4/18/20,801,8,76,7.54,-5.5471
,Croatia,4/18/20,1832,39,8,45.1,15.2
,Diamond Princess,4/18/20,712,13,312,0,0
,Cuba,4/18/20,986,32,1008,22,-80
,Cyprus,4/18/20,761,12,701,35.1264,33.4299
,Czechia,4/18/20,6606,181,43,49.8175,15.473
Faroe Islands,Denmark,4/18/20,184,0,4,61.8926,-6.9118
Greenland,Denmark,4/18/20,11,0,3,71.7069,-42.6043
,Denmark,4/18/20,7242,346,162,56.2639,9.5018
,Djibouti,4/18/20,732,2,8,11.8251,42.5903
,Dominican Republic,4/18/20,4335,217,16,18.7357,-70.1627
,Ecuador,4/18/20,9022,456,0,-1.8312,-78.1834
,Egypt,4/18/20,3032,224,1700,26,30
,El Salvador,4/18/20,190,7,64,13.7942,-88.8965
,Equatorial Guinea,4/18/20,79,0,2,1.5,10
,Eritrea,4/18/20,39,0,73,15.1794,39.7823
,Estonia,4/18/20,1512,38,73,58.5953,25.0136
,Eswatini,4/18/20,22,1,117,-26.5225,31.4659
,Ethiopia,4/18/20,105,3,14,9.145,40.4897
,Fiji,4/18/20,17,0,237,-17.7134,178.065
,Finland,4/18/20,3681,90,5,64,26
French Guiana,France,4/18/20,96,0,19,3.9339,-53.1258
French Polynesia,France,4/18/20,55,0,35983,-17.6797,149.4068
Guadeloupe,France,4/18/20,148,8,7,16.25,-61.5833
Mayotte,France,4/18/20,254,4,2,-12.8275,45.1662
New Caledonia,France,4/18/20,18,0,86,-20.9043,165.618
Reunion,France,4/18/20,407,0,85400,-21.1351,55.2471
Saint Barthelemy,France,4/18/20,6,0,99,17.9,-62.8333
St Martin,France,4/18/20,37,2,6,18.0708,-63.0501
Martinique,France,4/18/20,158,8,269,14.6415,-61.0242
,France,4/18/20,147969,19323,21,46.2276,2.2137
,Gabon,4/18/20,108,1,65,-0.8037,11.6094
,Gambia,4/18/20,9,1,0,13.4432,-15.3101
,Georgia,4/18/20,388,4,9,42.3154,43.3569
,Germany,4/18/20,143342,4459,0,51,9
,Ghana,4/18/20,834,9,2,7.9465,-1.0232
,Greece,4/18/20,2235,110,10,39.0742,21.8243
,Guatemala,4/18/20,235,7,231,15.7835,-90.2308
,Guinea,4/18/20,518,3,1291,9.9456,-9.6966
,Guyana,4/18/20,63,6,2463,5,-58.75
,Haiti,4/18/20,44,3,631,18.9712,-72.2852
,Holy See,4/18/20,8,0,55987,41.9029,12.4534
,Honduras,4/18/20,457,46,953,15.2,-86.2419
,Hungary,4/18/20,1834,172,77,47.1625,19.5033
